Gene	SCZ_p_value	SCZ_q_value
C12orf24	2.49E-06	0.0227
CCDC152	3.14E-06	0.0227
FAM123A	5.38E-06	0.0257
LIMK1	7.12E-06	0.0257
SCD5	1.05E-05	0.0304
ICA1	1.71E-05	0.0404
GEMIN8	2.16E-05	0.0404
SEMA6A	2.24E-05	0.0404
ADIPOR2	2.59E-05	0.0415
CNNM3	4.89E-05	0.0489
SPDYE8P	5.03E-05	0.0489
FLCN	5.05E-05	0.0489
RALB	5.18E-05	0.0489
AFMID	5.26E-05	0.0489
PDK4	5.29E-05	0.0489
PCDH9	5.41E-05	0.0489
DYNLT3	6.35E-05	0.0540
LOC100170939	9.18E-05	0.0693
HMHA1	9.73E-05	0.0693
BEST1	9.83E-05	0.0693
GPRC5B	1.02E-04	0.0693
TNFAIP2	1.07E-04	0.0693
UBE2Q1	1.10E-04	0.0693
PTPDC1	1.17E-04	0.0703
FGF13	1.30E-04	0.0733
AIDA	1.32E-04	0.0733
CLMN	1.44E-04	0.0745
CCDC64	1.50E-04	0.0745
NAP1L5	1.55E-04	0.0745
HIP1	1.55E-04	0.0745
PFKFB4	2.09E-04	0.0860
SOX10	2.10E-04	0.0860
MOBKL2A	2.11E-04	0.0860
FAM161A	2.11E-04	0.0860
TNRC6C	2.16E-04	0.0860
RNF144A	2.20E-04	0.0860
CBR1	2.25E-04	0.0860
BBX	2.26E-04	0.0860
IGSF11	2.33E-04	0.0862
KCNJ2	2.48E-04	0.0872
CREB5	2.53E-04	0.0872
RNF103	2.57E-04	0.0872
YIPF4	2.60E-04	0.0872
FRYL	2.66E-04	0.0872
DHTKD1	2.79E-04	0.0898
JAGN1	2.92E-04	0.0918
MED12	3.07E-04	0.0924
ENSA	3.17E-04	0.0924
CBFA2T2	3.21E-04	0.0924
RDX	3.25E-04	0.0924
SORCS2	3.35E-04	0.0924
FAM53B	3.37E-04	0.0924
NAV1	3.40E-04	0.0924
NEO1	3.48E-04	0.0924
ZDHHC8P1	3.59E-04	0.0924
PRR18	3.70E-04	0.0924
KIAA1161	3.71E-04	0.0924
ETS2	3.71E-04	0.0924
TRPV1	3.84E-04	0.0926
ATF7	4.16E-04	0.0926
PIP4K2A	4.17E-04	0.0926
PMP22	4.23E-04	0.0926
BEX1	4.32E-04	0.0926
CHDH	4.35E-04	0.0926
MTA2	4.40E-04	0.0926
TSPAN14	4.45E-04	0.0926
SYTL2	4.51E-04	0.0926
METTL7A	4.59E-04	0.0926
MLF2	4.65E-04	0.0926
TAT	4.68E-04	0.0926
TAGLN3	4.79E-04	0.0926
SH3BP1	4.81E-04	0.0926
ZNF546	4.81E-04	0.0926
FER	4.85E-04	0.0926
TTYH2	4.90E-04	0.0926
SLC22A5	5.15E-04	0.0926
C3orf71	5.16E-04	0.0926
ZNF527	5.27E-04	0.0926
CRCP	5.41E-04	0.0926
VWA1	5.45E-04	0.0926
SLC7A5P2	5.46E-04	0.0926
SLC48A1	5.56E-04	0.0926
SUMO3	5.59E-04	0.0926
KAZN	5.64E-04	0.0926
NKIRAS2	5.64E-04	0.0926
HEATR2	5.75E-04	0.0926
DBX2	5.76E-04	0.0926
GPM6B	5.77E-04	0.0926
FDPS	5.79E-04	0.0926
GTF2E1	5.81E-04	0.0926
NDUFA4	5.88E-04	0.0926
KLHDC3	5.90E-04	0.0926
POM121L4P	5.96E-04	0.0926
NDRG1	6.10E-04	0.0937
IDH1	6.17E-04	0.0938
LDHD	6.26E-04	0.0940
C2orf68	6.31E-04	0.0940
HSD17B7P2	6.42E-04	0.0947
GNAS	6.55E-04	0.0955
TCERG1	6.61E-04	0.0955
TOB2	6.69E-04	0.0958
LRRC1	6.97E-04	0.0984
KCNAB3	7.02E-04	0.0984
MTUS1	7.13E-04	0.0991
ARHGAP19	7.20E-04	0.0991
