id	1_pe	2_pe	3_pe	4_pe	5_pe	6_pe	7_pe	8_pe	geneCoordinate	geneSymbol	logFC	LimmaVoom.pvalue	BH.qvalue
ENSMUSG00000019970	3925	4442	3795	3636	2528	2539	2698	2596	chr10:21881984-22000103	Sgk1	-0.604982800823565	5.81868030277755e-06	0.146514882860978
ENSMUSG00000022770	4126	4566	4101	4833	2311	3079	2116	1935	chr16:31663243-31873556	Dlg1	-0.920172278552068	1.31761771894693e-05	0.146514882860978
ENSMUSG00000023224	448	462	380	437	234	201	240	146	chr2:84765187-84775644	Serping1	-1.0923001192234	1.77832563098725e-05	0.146514882860978
ENSMUSG00000029304	684	929	1157	793	179	358	276	101	chr5:104434918-104441250	Spp1	-2.08602810234756	2.26855899761521e-05	0.146514882860978
ENSMUSG00000031431	3497	3010	3271	3710	2519	2021	2126	1876	chrX:140539328-140600859	Tsc22d3	-0.662945543021003	3.28520931073447e-05	0.15313251158032
ENSMUSG00000021390	666	994	574	692	301	344	311	184	chr13:49607871-49624700	Ogn	-1.36634342965763	4.13224972131407e-05	0.15313251158032
ENSMUSG00000026728	1950	2419	2554	2588	1610	1329	1533	1228	chr2:13573727-13583026	Vim	-0.737952180487605	4.14929000953102e-05	0.15313251158032
ENSMUSG00000022769	648	544	499	448	284	294	306	324	chr16:17129938-17132583	Sdf2l1	-0.813450163117667	5.01721557200132e-05	0.153252822040192
ENSMUSG00000020467	568	688	533	623	362	409	352	282	chr11:28853004-28926943	Efemp1	-0.785266079298375	7.09136169308745e-05	0.153252822040192
ENSMUSG00000033227	90	67	45	60	14	22	20	15	chr1:74771692-74785522	Wnt6	-1.86024036228861	7.19872502058639e-05	0.153252822040192
ENSMUSG00000055128	650	672	691	723	508	490	446	435	chr14:46831934-46854393	Cgrrf1	-0.544558432513434	7.28315589003609e-05	0.153252822040192
ENSMUSG00000037254	210	196	137	187	71	88	74	40	chr2:10094393-10131596	Itih2	-1.44816666989549	8.09261961343787e-05	0.153252822040192
