Ensemble Genome ID	Gene Symbol	Log Fold Change
ENSMUSG00000019970	Sgk1	0.604982801
ENSMUSG00000022770	Dlg1	0.920172279
ENSMUSG00000023224	Serping1	1.092300119
ENSMUSG00000029304	Spp1	2.086028102
ENSMUSG00000031431	Tsc22d3	0.662945543
ENSMUSG00000021390	Ogn	-1.36634343
ENSMUSG00000026728	Vim	-0.73795218
ENSMUSG00000022769	Sdf2l1	0.813450163
ENSMUSG00000020467	Efemp1	0.785266079
ENSMUSG00000033227	Wnt6	1.860240362
ENSMUSG00000055128	Cgrrf1	0.544558433
ENSMUSG00000037254	Itih2	-1.44816667
ENSMUSG00000070691	Runx3	2.433336132
ENSMUSG00000032575	Manf	0.581728345
ENSMUSG00000031289	Il13ra2	1.998579379
ENSMUSG00000029661	Col1a2	1.062558267
ENSMUSG00000067038	Rps12-ps3	2.467941625
ENSMUSG00000054619	Mettl7a1	-0.39870621
ENSMUSG00000024650	Slc22a6	1.704915114
ENSMUSG00000015090	Ptgds	1.253057418
ENSMUSG00000026043	Col3a1	1.300397001
ENSMUSG00000030357	Fkbp4	0.343944084
ENSMUSG00000071005	Ccl19	2.363646432
ENSMUSG00000105843	Gm42644	-1.52239332
ENSMUSG00000030711	Sult1a1	0.875568486
ENSMUSG00000079293	Clec7a	2.007730582
ENSMUSG00000070436	Serpinh1	0.658564574
ENSMUSG00000030154	Klrb1f	2.174662835
ENSMUSG00000004951	Hspb1	1.133328217
ENSMUSG00000036777	Anln	0.750523147
ENSMUSG00000027248	Pdia3	0.350126593
ENSMUSG00000030218	Mgp	1.053034845
ENSMUSG00000030108	Slc6a13	1.258734628
ENSMUSG00000057836	Xlr3a	2.154616401
ENSMUSG00000000303	Cdh1	1.987938463
ENSMUSG00000024087	Cyp1b1	-0.95956574
ENSMUSG00000032231	Anxa2	0.831693618
ENSMUSG00000060591	Ifitm2	-0.82147731
ENSMUSG00000049241	Hcar1	1.730353275
ENSMUSG00000032060	Cryab	0.561687665
ENSMUSG00000026638	Irf6	1.238846117
ENSMUSG00000022548	Apod	0.868596841
ENSMUSG00000013584	Aldh1a2	1.291353747
ENSMUSG00000019539	Rcn3	0.615255839
ENSMUSG00000040055	Gjb6	-0.57564983
ENSMUSG00000040310	Alx4	1.225356858
ENSMUSG00000031367	Ap1s2	0.377838987
ENSMUSG00000023272	Creld2	-0.51269519
ENSMUSG00000038155	Gstp2	-1.96171475
ENSMUSG00000107215	Gm43197	2.106413397
ENSMUSG00000074896	Ifit3	0.830338737
ENSMUSG00000020484	Xbp1	0.420933711
ENSMUSG00000034435	Tmem30b	2.348757156
ENSMUSG00000022766	Serpind1	1.521272379
ENSMUSG00000005125	Ndrg1	0.558146377
ENSMUSG00000038393	Txnip	0.584362558
ENSMUSG00000041548	Hspb8	0.559621993
ENSMUSG00000034165	Ccnd3	0.399017781
ENSMUSG00000027048	Abcb11	-2.19248413
ENSMUSG00000073418	C4b	0.516645555
ENSMUSG00000025823	Pdia4	-0.55418986
ENSMUSG00000031070	Mrgprf	1.766073987
ENSMUSG00000032179	Bmp5	1.738362368
ENSMUSG00000043795	Prr33	2.024615333
ENSMUSG00000048368	Omd	2.520720092
ENSMUSG00000066861	Oas1g	2.341011247
ENSMUSG00000024371	C2	1.517189655
